Conference,Year,Submitted,Accepted,Rate (%)
InfoVis,2017,170,39,22.94%
InfoVis,2016,167,37,22.15%
InfoVis,2015,178,38,21.34%
InfoVis,2014,196,45,22.96%
InfoVis,2013,152,38,25.00%
InfoVis,2012,178,44,24.72%
InfoVis,2011,172,44,25.58%
InfoVis,2010,135,35,26%
InfoVis,2009,141,37,26%
InfoVis,2008,107,28,26%
InfoVis,2007,116,27,23%
InfoVis,2006,104,24,23%
InfoVis,2005,114,31,27%
InfoVis,2004,89,27,30%
InfoVis,2003,90,29,32%
InfoVis,2002,78,23,30%
InfoVis,2001,63,22,35%
EuroVis,2017,170,46,27%
EuroVis,2016,183,50,27%
EuroVis,2015,160,51,32%
EuroVis,2014,161,42,26.09%
EuroVis,2013,177,49,27.68%
EuroVis,2012,202,52,25.74%
EuroVis,2011,194,54,27.84%
EuroVis,2010,164,48,29.27%
EuroVis,2009,143,41,28.67%
EuroVis,2008,143,45,31.47%
EuroVis,2007,93,35,37.63%
EuroVis,2006,98,43,43.88%
EuroVis,2005,102,36,35.29%
EuroVis,2004,82,39,47.56%
EuroVis,2003,62,30,48.39%
EuroVis,2002,80,31,38.75%
EuroVis,2001,68,33,48.53%
CHI,2017,2400,600,25.00%
CHI,2016,2435,565,23%
CHI,2015,2120,486,23%
CHI,2014,2043,465,23%
CHI,2013,1963,392,20%
CHI,2012,1577,370,23%
CHI,2011,1540,409,26.56%
CHI,2010,1346,302,22%
CHI,2009,1130,277,25%
CHI,2008,714,157,22%
CHI,2007,571,142,25%
CHI,2006,508,118,23%
CHI,2005,372,93,25%
CHI,2004,578,93,16%
CHI,2003,468,75,16%
CHI,2002,414,61,15%
CHI,2001,352,69,20%